a,b,c,d
2.414000273,2.510418653,2.399750233,0
2.414000273,2.510418653,2.399750233,0
2.414000273,2.510418653,2.399750233,0
2.414000273,2.510418653,2.399000168,0
2.436750174,2.542706251,2.415500164,0
2.424500227,2.528612614,2.401750088,0
2.424500227,2.528612614,2.401750088,0
2.426500082,2.510674953,2.403750181,0
2.426500082,2.510674953,2.403750181,0
2.426500082,2.510674953,2.403750181,0
2.426500082,2.510674953,2.403750181,0
2.426500082,2.510674953,2.403750181,0
2.426500082,2.510674953,2.392750263,0
2.411750078,2.510674953,2.394250154,0
2.422750235,2.510674953,2.394250154,0
2.422750235,2.510674953,2.394250154,0
2.422750235,2.510674953,2.394750118,0
2.422750235,2.510674953,2.394750118,0
2.422750235,2.510674953,2.394750118,0
2.422750235,2.510674953,2.394750118,0
2.422750235,2.510674953,2.394750118,0
2.422750235,2.510674953,2.394750118,0
2.422750235,2.510674953,2.39350009,0
2.422750235,2.510674953,2.39350009,0
2.422750235,2.510674953,2.39350009,0
2.42475009,2.528612614,2.40500021,0
2.42475009,2.528612614,2.405250072,0
2.42475009,2.528612614,2.405750275,0
2.42475009,2.528612614,2.394750118,0
2.42475009,2.528612614,2.394750118,0
2.42475009,2.528612614,2.405250072,0
2.42475009,2.528612614,2.405250072,0
2.42475009,2.528612614,2.393750191,0
2.42475009,2.528612614,2.393750191,0
2.42475009,2.528612614,2.393750191,0
2.42475009,2.528612614,2.393750191,0
2.42475009,2.528612614,2.406250238,0
2.42475009,2.528612614,2.406250238,0
2.42475009,2.528612614,2.406250238,0
2.42475009,2.528612614,2.395750046,0
2.42475009,2.528612614,2.395750046,0
2.42475009,2.528612614,2.395750046,0
2.42475009,2.528612614,2.395750046,0
2.42475009,2.528612614,2.396500111,0
2.42475009,2.528612614,2.396500111,0
2.42475009,2.528612614,2.396500111,0
2.42475009,2.528612614,2.396500111,0
2.42475009,2.528612614,2.396500111,0
2.42475009,2.528612614,2.396500111,0
2.42475009,2.528612614,2.396500111,0
2.42475009,2.528612614,2.396500111,0
2.42475009,2.528612614,2.396500111,0
2.42475009,2.528612614,2.396500111,0
2.42475009,2.528612614,2.396500111,0
2.42475009,2.528612614,2.396500111,0
2.42475009,2.528612614,2.396500111,0
2.42475009,2.528612614,2.396500111,0
2.42475009,2.528612614,2.396500111,0
2.42475009,2.528612614,2.396500111,0
2.42475009,2.528612614,2.396500111,0
2.42475009,2.528612614,2.396500111,0
2.42475009,2.528612614,2.396500111,0
2.42475009,2.528612614,2.396500111,0
2.42475009,2.528612614,2.396500111,0
2.42475009,2.528612614,2.396500111,0
2.42475009,2.528612614,2.396500111,0
2.42475009,2.528612614,2.396500111,0
2.42475009,2.528612614,2.396500111,0
2.42475009,2.528612614,2.406750202,0
2.42475009,2.528612614,2.396000147,0
2.42475009,2.528612614,2.396000147,0
2.42475009,2.528612614,2.396000147,0
2.42475009,2.528612614,2.396000147,0
2.42475009,2.528612614,2.396000147,0
2.42475009,2.528612614,2.396000147,0
2.42475009,2.528612614,2.396000147,0
