0,1,2,3,4,5,6
2013/1/3 13:01,0.11812496199999999,677.4375,600.4719238,0.0,0.0,14.31768799
2013/1/3 14:01,0.11812496199999999,677.4375,600.4719238,0.0,0.0,14.31768799
2013/1/3 15:01,0.11812496199999999,677.4375,600.4719238,0.0,0.0,14.31768799
2013/1/3 16:01,0.11812496199999999,677.4375,600.4719238,0.0,0.0,14.31768799
2013/1/3 17:01,0.11812496199999999,677.4375,600.4719238,0.0,0.0,14.31768799
2013/1/3 18:01,0.11812496199999999,677.4375,600.4719238,0.0,0.0,14.31768799
2013/1/3 19:01,0.11812496199999999,677.4375,600.4719238,0.0,0.0,14.31768799
2013/1/3 20:01,0.11812496199999999,677.4375,600.4719238,0.0,0.0,14.31768799
2013/1/3 21:01,0.11812496199999999,677.4375,600.4719238,0.0,0.0,14.31768799
2013/1/3 22:01,0.11812496199999999,677.4375,600.4719238,0.0,0.0,14.31768799
2013/1/3 23:01,0.11812496199999999,677.4375,600.4719238,0.0,0.0,14.31768799
2013/1/4 0:01,0.11812496199999999,677.4375,600.4719238,0.0,0.0,14.31768799
2013/1/4 1:01,0.11812496199999999,677.4375,600.4719238,0.0,0.0,14.31768799
2013/1/4 2:01,0.11812496199999999,677.4375,600.4719238,0.0,0.0,14.31768799
2013/1/4 3:01,0.11812496199999999,677.4375,600.4719238,0.0,0.0,14.31768799
2013/1/4 4:01,0.11812496199999999,677.4375,600.4719238,0.0,0.0,14.31768799
2013/1/4 5:01,0.11812496199999999,677.4375,600.4719238,0.0,0.0,14.31768799
2013/1/4 6:01,0.11812496199999999,677.4375,600.4719238,0.0,0.0,14.31768799
2013/1/4 7:01,0.11812496199999999,677.4375,600.4719238,0.0,0.0,14.31768799
2013/1/4 8:01,0.11812496199999999,677.4375,600.4719238,0.0,0.0,14.31768799
2013/1/4 9:01,0.11812496199999999,677.4375,600.4719238,0.0,0.0,14.31768799
2013/1/4 10:01,0.11812496199999999,677.4375,600.4719238,0.0,0.0,14.31768799
2013/1/4 11:01,0.11812496199999999,677.4375,600.4719238,0.0,0.0,14.31768799
